strain_id,dose_params,is_reference,is_spike
wt,"[10000.0, 1.0]",True,False
spike,"[1e-09, 0.0]",False,True
mut_A,"[0.1, 0.0]",False,False
mut_B,"[1.0, 0.0]",False,False
mut_C,"[10.0, 0.0]",False,False
mut_D,"[1.0, 0.5]",False,False
ctrl_000,"[10000.0, 1.0]",False,False
ctrl_001,"[10000.0, 1.0]",False,False
ctrl_002,"[10000.0, 1.0]",False,False
ctrl_003,"[10000.0, 1.0]",False,False
ctrl_004,"[10000.0, 1.0]",False,False
ctrl_005,"[10000.0, 1.0]",False,False
ctrl_006,"[10000.0, 1.0]",False,False
ctrl_007,"[10000.0, 1.0]",False,False
ctrl_008,"[10000.0, 1.0]",False,False
ctrl_009,"[10000.0, 1.0]",False,False
str_000,"[np.float64(1.160934072833945), 0.0]",False,False
str_001,"[np.float64(0.6583176596280784), 0.0]",False,False
str_002,"[np.float64(1.2878968798670738), 0.0]",False,False
str_003,"[np.float64(1.046052043589046), 0.0]",False,False
str_004,"[np.float64(0.1412660218314743), 0.0]",False,False
str_005,"[np.float64(1.463433527455134), 0.0]",False,False
str_006,"[np.float64(1.1417095529855295), 0.0]",False,False
str_007,"[np.float64(1.1790964579154308), 0.0]",False,False
str_008,"[np.float64(0.1921704490133188), 0.0]",False,False
str_009,"[np.float64(0.6755789068433506), 0.0]",False,False
str_010,"[np.float64(0.5561970363488719), 0.0]",False,False
str_011,"[np.float64(1.3901474832729028), 0.0]",False,False
str_012,"[np.float64(0.9657976801209969), 0.0]",False,False
str_013,"[np.float64(1.234142419906245), 0.0]",False,False
str_014,"[np.float64(0.6651212982409966), 0.0]",False,False
str_015,"[np.float64(0.34085808267716533), 0.0]",False,False
str_016,"[np.float64(0.8318771805237521), 0.0]",False,False
str_017,"[np.float64(0.09572588415626299), 0.0]",False,False
str_018,"[np.float64(1.241446757988873), 0.0]",False,False
str_019,"[np.float64(0.9474965986830972), 0.0]",False,False
str_020,"[np.float64(1.1371316101280606), 0.0]",False,False
str_021,"[np.float64(0.5317889521948025), 0.0]",False,False
str_022,"[np.float64(1.4560470365923548), 0.0]",False,False
str_023,"[np.float64(1.3396816819832966), 0.0]",False,False
str_024,"[np.float64(1.1675752456106427), 0.0]",False,False
str_025,"[np.float64(0.29195806177795136), 0.0]",False,False
str_026,"[np.float64(0.7000815055905513), 0.0]",False,False
str_027,"[np.float64(0.06570564868084317), 0.0]",False,False
str_028,"[np.float64(0.23143423810132174), 0.0]",False,False
str_029,"[np.float64(1.024573429863682), 0.0]",False,False
str_030,"[np.float64(1.1171432338617258), 0.0]",False,False
str_031,"[np.float64(1.451264598651315), 0.0]",False,False
str_032,"[np.float64(0.4887380372072279), 0.0]",False,False
str_033,"[np.float64(0.5556895590523033), 0.0]",False,False
str_034,"[np.float64(0.7043337169137118), 0.0]",False,False
str_035,"[np.float64(0.28420703862642854), 0.0]",False,False
str_036,"[np.float64(0.19488225800320746), 0.0]",False,False
str_037,"[np.float64(0.7135573893389007), 0.0]",False,False
str_038,"[np.float64(0.34036402357632617), 0.0]",False,False
str_039,"[np.float64(1.0047209920237656), 0.0]",False,False
str_040,"[np.float64(0.6557278783084961), 0.0]",False,False
str_041,"[np.float64(1.249017294086756), 0.0]",False,False
str_042,"[np.float64(1.0503976530033736), 0.0]",False,False
str_043,"[np.float64(0.4685499620730616), 0.0]",False,False
str_044,"[np.float64(1.2483897020928016), 0.0]",False,False
str_045,"[np.float64(1.2071465362452027), 0.0]",False,False
str_046,"[np.float64(0.5812175685452616), 0.0]",False,False
str_047,"[np.float64(0.43249215589536616), 0.0]",False,False
str_048,"[np.float64(1.0237432559624633), 0.0]",False,False
str_049,"[np.float64(0.2096287254139647), 0.0]",False,False
str_050,"[np.float64(0.2998623037126625), 0.0]",False,False
str_051,"[np.float64(0.011043404626508269), 0.0]",False,False
str_052,"[np.float64(1.1803865662532076), 0.0]",False,False
str_053,"[np.float64(0.9972762848880482), 0.0]",False,False
str_054,"[np.float64(1.0577480679395026), 0.0]",False,False
str_055,"[np.float64(1.1710935465329517), 0.0]",False,False
str_056,"[np.float64(0.6883736633075099), 0.0]",False,False
str_057,"[np.float64(0.8531117939293407), 0.0]",False,False
str_058,"[np.float64(0.20969549719148617), 0.0]",False,False
str_059,"[np.float64(0.17179511030396016), 0.0]",False,False
str_060,"[np.float64(1.0026044426857075), 0.0]",False,False
str_061,"[np.float64(0.7066443092146988), 0.0]",False,False
str_062,"[np.float64(0.8478541597217832), 0.0]",False,False
str_063,"[np.float64(1.1474982861240384), 0.0]",False,False
str_064,"[np.float64(0.9520774800008862), 0.0]",False,False
str_065,"[np.float64(0.8303691009869938), 0.0]",False,False
str_066,"[np.float64(0.8388107411181203), 0.0]",False,False
str_067,"[np.float64(0.4559251470939183), 0.0]",False,False
str_068,"[np.float64(0.04622675185190911), 0.0]",False,False
str_069,"[np.float64(0.6550760838485435), 0.0]",False,False
str_070,"[np.float64(0.3218770092292938), 0.0]",False,False
str_071,"[np.float64(0.6127929655869542), 0.0]",False,False
str_072,"[np.float64(1.2801046099022493), 0.0]",False,False
str_073,"[np.float64(0.3509092287980111), 0.0]",False,False
str_074,"[np.float64(0.08745411253359903), 0.0]",False,False
str_075,"[np.float64(0.4220758380329948), 0.0]",False,False
str_076,"[np.float64(0.4403906366500254), 0.0]",False,False
str_077,"[np.float64(0.9928747720903426), 0.0]",False,False
str_078,"[np.float64(0.8355482285119176), 0.0]",False,False
str_079,"[np.float64(1.1758473136596201), 0.0]",False,False
str_080,"[np.float64(0.9964703104910813), 0.0]",False,False
str_081,"[np.float64(0.6095802921601058), 0.0]",False,False
str_082,"[np.float64(1.221030576999052), 0.0]",False,False
str_083,"[np.float64(0.25045937986155586), 0.0]",False,False
str_084,"[np.float64(0.034068109700790716), 0.0]",False,False
str_085,"[np.float64(0.13507179116346263), 0.0]",False,False
str_086,"[np.float64(1.0835390258946753), 0.0]",False,False
str_087,"[np.float64(0.6928158453770811), 0.0]",False,False
str_088,"[np.float64(0.2419076685504027), 0.0]",False,False
str_089,"[np.float64(0.7515671626550453), 0.0]",False,False
str_090,"[np.float64(0.22846815406975263), 0.0]",False,False
str_091,"[np.float64(1.044480562616604), 0.0]",False,False
str_092,"[np.float64(0.669234413361046), 0.0]",False,False
str_093,"[np.float64(0.5715318391447237), 0.0]",False,False
str_094,"[np.float64(0.4522681337218148), 0.0]",False,False
str_095,"[np.float64(0.9454238896783327), 0.0]",False,False
str_096,"[np.float64(0.5427189158300856), 0.0]",False,False
str_097,"[np.float64(0.1314748789741515), 0.0]",False,False
str_098,"[np.float64(0.17700885318077297), 0.0]",False,False
str_099,"[np.float64(1.4428464968242718), 0.0]",False,False
